Date,MU
2007-03-15,11.274321556091309
2007-03-16,11.1572847366333
2007-03-19,10.991486549377441
2007-03-20,10.991486549377441
2007-03-21,11.313333511352539
2007-03-22,11.332837104797363
2007-03-23,11.303579330444336
2007-03-26,11.323086738586426
2007-03-27,11.713199615478516
2007-03-28,11.713199615478516
2007-03-29,11.54740047454834
2007-03-30,11.781469345092773
2007-04-02,11.830232620239258
2007-04-03,11.927760124206543
2007-04-04,11.771716117858887
2007-04-05,11.225554466247559
2007-04-09,10.903712272644043
2007-04-10,10.942723274230957
2007-04-11,11.020746231079102
2007-04-12,11.167038917541504
2007-04-13,10.981734275817871
2007-04-16,10.796430587768555
2007-04-17,10.679396629333496
2007-04-18,10.825687408447266
2007-04-19,10.854944229125977
2007-04-20,10.913464546203613
2007-04-23,10.932971000671387
2007-04-24,11.303579330444336
2007-04-25,11.479131698608398
2007-04-26,11.674186706542969
2007-04-27,11.401107788085938
2007-04-30,11.186542510986328
2007-05-01,11.069510459899902
2007-05-02,11.167038917541504
2007-05-03,11.1085205078125
2007-05-04,11.61567211151123
2007-05-07,11.664434432983398
2007-05-08,11.56690502166748
2007-05-09,12.054548263549805
2007-05-10,11.830232620239258
2007-05-11,12.015538215637207
2007-05-14,11.98627758026123
2007-05-15,11.771716117858887
2007-05-16,11.839985847473145
2007-05-17,11.215804100036621
2007-05-18,11.186542510986328
2007-05-21,11.167038917541504
2007-05-22,11.098767280578613
2007-05-23,11.245060920715332
2007-05-24,11.518144607543945
2007-05-25,11.674186706542969
2007-05-29,11.664434432983398
2007-05-30,11.605915069580078
2007-05-31,11.878998756408691
2007-06-01,12.288618087768555
2007-06-04,12.259359359741211
2007-06-05,12.14232349395752
2007-06-06,11.93751335144043
2007-06-07,11.654679298400879
2007-06-08,12.044795036315918
2007-06-11,11.693692207336426
2007-06-12,11.664434432983398
2007-06-13,11.644928932189941
2007-06-14,11.927760124206543
2007-06-15,12.269113540649414
2007-06-18,12.23985481262207
2007-06-19,12.132572174072266
2007-06-20,12.405653953552246
2007-06-21,12.912801742553711
2007-06-22,12.512932777404785
2007-06-25,12.337381362915039
2007-06-26,12.14232349395752
2007-06-27,12.347135543823242
2007-06-28,12.103312492370605
2007-06-29,12.22034740447998
2007-07-02,12.171582221984863
2007-07-03,12.37639331817627
2007-07-05,12.483675003051758
2007-07-06,13.1176118850708
2007-07-09,13.088354110717773
2007-07-10,13.205389022827148
2007-07-11,13.49797534942627
2007-07-12,13.400444030761719
2007-07-13,13.400444030761719
2007-07-16,13.634511947631836
2007-07-17,13.507725715637207
2007-07-18,13.32242202758789
2007-07-19,13.263906478881836
2007-07-20,13.078600883483887
2007-07-23,13.107858657836914
2007-07-24,12.727499961853027
2007-07-25,12.756754875183105
2007-07-26,11.839985847473145
2007-07-27,11.576659202575684
2007-07-30,11.722951889038086
2007-07-31,11.576659202575684
2007-08-01,11.800975799560547
2007-08-02,11.527894973754883
2007-08-03,11.352341651916504
2007-08-06,11.34259033203125
2007-08-07,11.303579330444336
2007-08-08,11.771716117858887
2007-08-09,12.19108772277832
2007-08-10,11.908254623413086
2007-08-13,11.674186706542969
2007-08-14,11.235308647155762
2007-08-15,10.786673545837402
2007-08-16,10.338044166564941
2007-08-17,10.718405723571777
2007-08-20,10.70865249633789
2007-08-21,11.079261779785156
2007-08-22,11.167038917541504
2007-08-23,10.845192909240723
2007-08-24,10.747666358947754
2007-08-27,10.952472686767578
2007-08-28,10.72815990447998
2007-08-29,10.962228775024414
2007-08-30,10.932971000671387
2007-08-31,11.167038917541504
2007-09-04,11.313333511352539
2007-09-05,11.079261779785156
2007-09-06,11.215804100036621
2007-09-07,11.118271827697754
2007-09-10,11.352341651916504
2007-09-11,11.34259033203125
2007-09-12,10.971981048583984
2007-09-13,11.001240730285645
2007-09-14,10.72815990447998
2007-09-17,10.66964054107666
2007-09-18,10.89395809173584
2007-09-19,10.66964054107666
2007-09-20,10.513594627380371
2007-09-21,10.46483039855957
2007-09-24,10.279525756835938
2007-09-25,10.152739524841309
2007-09-26,10.484334945678711
2007-09-27,11.079261779785156
2007-09-28,10.825687408447266
2007-10-01,11.069510459899902
2007-10-02,11.498635292053223
2007-10-03,10.474583625793457
2007-10-04,10.347796440124512
2007-10-05,10.533099174499512
2007-10-08,10.484334945678711
2007-10-09,10.377057075500488
2007-10-10,10.445327758789062
2007-10-11,10.299032211303711
2007-10-12,10.23076057434082
2007-10-15,10.201505661010742
2007-10-16,10.172246932983398
2007-10-17,10.113728523254395
2007-10-18,10.269773483276367
2007-10-19,9.830894470214844
2007-10-22,9.743117332458496
2007-10-23,9.743117332458496
2007-10-24,9.538308143615723
2007-10-25,9.196958541870117
2007-10-26,9.51880168914795
2007-10-29,9.743117332458496
2007-10-30,10.094222068786621
2007-10-31,10.250267028808594
2007-11-01,10.064963340759277
2007-11-02,10.211256980895996
2007-11-05,9.889413833618164
2007-11-06,9.674847602844238
2007-11-07,9.255474090576172
2007-11-08,9.099427223205566
2007-11-09,9.401768684387207
2007-11-12,9.089676856994629
2007-11-13,9.187203407287598
2007-11-14,9.11893367767334
2007-11-15,9.011652946472168
2007-11-16,8.923876762390137
2007-11-19,8.621537208557129
2007-11-20,8.319199562072754
2007-11-21,7.880320072174072
2007-11-23,8.163155555725098
2007-11-26,7.821803092956543
2007-11-27,7.743781089782715
2007-11-28,8.250929832458496
2007-11-29,8.026613235473633
2007-11-30,8.114388465881348
2007-12-03,8.09488296508789
2007-12-04,8.387469291687012
2007-12-05,8.728816986083984
2007-12-06,9.031158447265625
2007-12-07,8.806840896606445
2007-12-10,8.758079528808594
2007-12-11,8.387469291687012
2007-12-12,8.436235427856445
2007-12-13,8.260683059692383
2007-12-14,8.163155555725098
2007-12-17,7.6950154304504395
2007-12-18,7.607239723205566
2007-12-19,7.6462507247924805
2007-12-20,7.724273204803467
2007-12-21,7.343913555145264
2007-12-24,7.363417148590088
2007-12-26,7.314652442932129
2007-12-27,7.178112983703613
2007-12-28,7.090337753295898
2007-12-31,7.070831298828125
2008-01-02,6.866021156311035
2008-01-03,6.778244972229004
2008-01-04,6.241837501525879
2008-01-07,6.23208475112915
2008-01-08,6.027274131774902
2008-01-09,6.046780109405518
2008-01-10,6.046780109405518
2008-01-11,5.939499378204346
2008-01-14,6.09554386138916
2008-01-15,5.6079020500183105
2008-01-16,5.78345251083374
2008-01-17,5.9102396965026855
2008-01-18,6.280849456787109
2008-01-22,6.134556770324707
2008-01-23,6.534423828125
2008-01-24,6.817255973815918
2008-01-25,6.368625640869141
2008-01-28,6.436895370483398
2008-01-29,6.700222015380859
2008-01-30,6.787997722625732
2008-01-31,6.817255973815918
